"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Parabank API","0","Account Transactions","0","1","Missing account ID","0"
"0","Parabank API","0","Account Transactions","0","1","Invalid account ID - random","0"
"0","Parabank API","0","Transactions","1","0","","0"
"0","Parabank API","0","Transactions","1","0","Transaction details by valid ID","0"
"0","Parabank API","0","Account Transactions","0","1","Non-numeric account ID","0"
"0","Parabank API","0","Transactions","1","0","Invalid transaction ID","0"
"0","Parabank API","0","Transactions","1","0","Non-numeric transaction ID","0"
"0","Parabank API","0","Transactions","1","0","List all transactions","0"
"0","Parabank API","0","Account Transactions","0","1","Valid account transactions","0"
"0","Parabank API","0","Transactions","1","0","Valid transaction ID","0"
"0","Parabank API","0","Accounts","1","0","List accounts by customer ID","0"
"0","Parabank API","0","Accounts","0","1","Valid customer ID","0"
"0","Parabank API","0","Account Transactions","0","1","Invalid account ID - static","0"
"0","Parabank API","0","Accounts","1","0","Non-numeric customer ID","0"
"0","Parabank API","0","Accounts","1","0","Invalid customer ID","0"
"0","Parabank API","0","Transactions","1","0","Transaction details with invalid ID","0"
