"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that /transactions endpoint without accountId returns 400 or 404.","107","verifyMissingAccountId","Parabank API Suite","2026-07-27","skipped","2026-07-27","tests.AccountTransactionsTests","All Tests","tests.AccountTransactionsTests","verifyMissingAccountId"
"Verify that /transactions/{accountId} with a random invalid ID returns 400 or 404.","109","verifyInvalidAccountIdRandom","Parabank API Suite","2026-07-27","skipped","2026-07-27","tests.AccountTransactionsTests","All Tests","tests.AccountTransactionsTests","verifyInvalidAccountIdRandom"
"","114","verifyTransactionDetailsNonNumericId","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.TransactionTests","All Tests","tests.TransactionTests","verifyTransactionDetailsNonNumericId"
"Verify that /transactions/{id} returns details for a valid transaction ID.","550","verifyTransactionDetailsValidId","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.TransactionTests","All Tests","tests.TransactionTests","verifyTransactionDetailsValidId"
"Verify that /transactions/{accountId} with a non-numeric ID returns 400 or 404.","102","verifyNonnumericAccountId","Parabank API Suite","2026-07-27","skipped","2026-07-27","tests.AccountTransactionsTests","All Tests","tests.AccountTransactionsTests","verifyNonnumericAccountId"
"Verify that /transactions/{id} with a non-existent numeric ID returns 400 or 404.","106","verifyTransactionDetailsInvalidId","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.TransactionDetailsTests","All Tests","tests.TransactionDetailsTests","verifyTransactionDetailsInvalidId"
"Verify that /transactions/{id} with a non-numeric ID returns 400 or 404.","107","verifyTransactionDetailsNonNumericId","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.TransactionDetailsTests","All Tests","tests.TransactionDetailsTests","verifyTransactionDetailsNonNumericId"
"Verify that /transactions returns a list of transactions when called without parameters.","115","verifyTransactionList","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.TransactionTests","All Tests","tests.TransactionTests","verifyTransactionList"
"Verify that /transactions/{accountId} returns correct data for a valid account ID.","191","verifyAccountTransactionsReturnsValidData","Parabank API Suite","2026-07-27","skipped","2026-07-27","tests.AccountTransactionsTests","All Tests","tests.AccountTransactionsTests","verifyAccountTransactionsReturnsValidData"
"Verify that /transactions/{id} returns correct details for a valid transaction ID.","162","verifyTransactionDetailsValidId","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.TransactionDetailsTests","All Tests","tests.TransactionDetailsTests","verifyTransactionDetailsValidId"
"Verify that /accounts/{customerId} returns a list of accounts for a valid customer.","1274","verifyAccountDetailsMissingIdReturnsError","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.AccountTests","All Tests","tests.AccountTests","verifyAccountDetailsMissingIdReturnsError"
"Verify that /accounts/{customerId} returns a list of accounts for a valid customer.","136","verifyAccountListValidCustomerId","Parabank API Suite","2026-07-27","skipped","2026-07-27","tests.AccountTests","All Tests","tests.AccountTests","verifyAccountListValidCustomerId"
"Verify that /transactions/{accountId} with static ID 999999 returns 400 or 404 and proper error message.","106","verifyInvalidAccountIdStatic","Parabank API Suite","2026-07-27","skipped","2026-07-27","tests.AccountTransactionsTests","All Tests","tests.AccountTransactionsTests","verifyInvalidAccountIdStatic"
"Verify that /accounts/{customerId} with a non-numeric ID returns 400 or 404.","124","verifyAccountListNonNumericCustomerId","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.AccountTests","All Tests","tests.AccountTests","verifyAccountListNonNumericCustomerId"
"Verify that /accounts/{customerId} with a non-existent numeric ID returns 400 or 404.","143","verifyAccountListInvalidCustomerId","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.AccountTests","All Tests","tests.AccountTests","verifyAccountListInvalidCustomerId"
"Verify that /transactions/{id} with a non-existent numeric ID returns 400 or 404.","113","verifyTransactionDetailsInvalidId","Parabank API Suite","2026-07-27","passed","2026-07-27","tests.TransactionTests","All Tests","tests.TransactionTests","verifyTransactionDetailsInvalidId"
